state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Zimbabwe,ZIM,2003,0.415,0,0,48.2,7.46,0
Angola,ANG,2004,0.375,0,0,50.2,2.626,0
Argentina,ARG,2004,0.918,1,0,44.9,8.53,0
Armenia,ARM,2004,0.587,1,0,38,10.688,0
Australia,AUL,2004,0.969,0,0,31.7,13.05,0
Austria,AUS,2004,0.969,0,0,26.9,13.05,0
Belarus,BLR,2004,0.252,1,0,24.2,9.998,0
Belgium,BEL,2004,0.948,0,1,26.7,10.954,0
Bolivia,BOL,2004,0.894,1,0,52.1,7.919,0
Botswana,BOT,2004,0.899,0,0,58.6,9.423,0
Brazil,BRA,2004,0.95,1,0,50.8,7.78,0
Bulgaria,BUL,2004,0.909,1,1,32.9,10.884,0
Burkina Faso,BFO,2004,0.802,1,0,45.1,1.102,0
Cameroon,CAO,2004,0.556,0,0,44.7,4.836,0
Canada,CAN,2004,0.936,0,1,31.3,12.936,1
Chile,CHL,2004,0.958,1,0,49.2,10.114,0
China,CHN,2004,0.217,1,0,41.9,7.205,1
Colombia,COL,2004,0.815,0,0,52.2,7.215,0
Costa Rica,COS,2004,0.971,1,0,45,7.134,0
Croatia,CRO,2004,0.881,1,0,54.4,0,0
Cyprus,CYP,2004,0.922,0,0,27.5,8.804,0
Czech Republic,CZR,2004,0.956,1,1,29.6,10.951,0
Denmark,DEN,2004,0.977,1,1,23.1,12.04,1
Djibouti,DJI,2004,0.421,1,0,42.2,0,0
Dominican Republic,DOM,2004,0.802,0,0,47.9,6.234,1
Ecuador,ECU,2004,0.847,0,0,48.7,8.237,0
Egypt,EGY,2004,0.383,1,0,41.1,7.186,1
El Salvador,SAL,2004,0.765,1,0,44.9,5.516,0
Estonia,EST,2004,0.957,1,1,34.1,11.339,0
Ethiopia,ETH,2004,0.353,1,0,32.9,0,1
Finland,FIN,2004,0.97,0,0,25.4,11.694,0
France,FRN,2004,0.952,1,1,28.1,12.088,1
Georgia,GRG,2004,0.785,1,0,37.8,10.764,1
Germany,GMY,2004,0.977,1,1,27.6,12.926,0
Ghana,GHA,2004,0.925,0,0,42.5,5.418,0
Greece,GRC,2004,0.955,0,1,32.9,10.202,1
Guatemala,GUA,2004,0.806,1,0,48.6,5.152,0
Honduras,HON,2004,0.743,1,0,52.1,5.574,0
Hungary,HUN,2004,0.933,1,1,27.7,10.926,0
Iceland,ICE,2004,0.945,0,1,29,10.916,0
India,IND,2004,0.912,0,0,47.6,4.642,1
Iran,IRN,2004,0.485,0,0,41.1,5.812,1
Ireland,IRE,2004,0.951,1,0,31.3,10.366,0
Israel,ISR,2004,0.924,0,0,36.2,10.583,1
Italy,ITA,2004,0.95,1,1,33.1,10.548,0
Jamaica,JAM,2004,0.9,1,0,41.9,8.84,0
Japan,JPN,2004,0.94,0,0,30.5,12.874,1
Jordan,JOR,2004,0.595,0,0,37.5,8.483,0
Kazakhstan,KZK,2004,0.409,1,0,28.7,11.266,0
Kenya,KEN,2004,0.796,0,0,46.5,6.232,1
Korea,KOR,2004,0.948,1,0,31,12.472,0
Kyrgyzstan,KYR,2004,0.466,1,0,34.9,10.198,0
Laos,LAO,2004,0.136,1,0,35.7,4.923,0
Latvia,LAT,2004,0.93,1,1,34.9,10.539,0
Lesotho,LES,2004,0.821,0,0,51.1,5.832,0
Lithuania,LIT,2004,0.941,1,1,33.4,10.748,0
Malawi,MAW,2004,0.756,0,0,46.3,4.316,0
Malaysia,MAL,2004,0.533,1,0,42,9.222,1
Malta,MLT,2004,0.886,0,0,27.7,0,0
Mauritania,MAA,2004,0.513,1,0,40.7,3.823,0
Mauritius,MAS,2004,0.938,0,0,37.9,7.471,0
Mexico,MEX,2004,0.863,1,0,47.2,8.21,0
Moldova,MLD,2004,0.751,1,0,37.7,9.792,0
Mongolia,MON,2004,0.89,1,0,34.6,0,0
Morocco,MOR,2004,0.631,0,0,41.3,3.976,0
Mozambique,MZM,2004,0.738,0,0,45.5,2.506,0
Namibia,NAM,2004,0.87,1,0,66.7,5.986,0
Netherlands,NTH,2004,0.956,1,1,26.2,11.38,0
New Zealand,NEW,2004,0.96,0,0,32.4,12.204,0
Nicaragua,NIC,2004,0.805,0,0,46.6,6.69,0
Niger,NIR,2004,0.803,1,0,39.8,1.142,0
Nigeria,NIG,2004,0.776,0,0,43.5,4.186,0
Norway,NOR,2004,0.971,0,1,26.2,12.486,0
Pakistan,PAK,2004,0.63,0,0,34.3,4.92,1
Panama,PAN,2004,0.891,1,0,50.1,8.802,0
Paraguay,PAR,2004,0.807,1,0,50.4,6.83,0
Peru,PER,2004,0.907,1,0,52.3,8.552,0
Philippines,PHI,2004,0.793,1,0,42.4,8.072,0
Poland,POL,2004,0.956,1,1,31.6,9.164,0
Portugal,POR,2004,0.957,1,1,34.1,7.532,0
Romania,ROM,2004,0.809,1,1,31.2,10.015,0
Russia,RUS,2004,0.547,0,0,37,9.49,1
Rwanda,RWA,2004,0.375,0,0,51.3,3.056,1
Serbia,0,2004,0.877,1,0,42.2,0,0
Seychelles,SEY,2004,0.691,0,0,34.4,10.068,0
Sierra Leone,SIE,2004,0.79,0,0,44.1,3.774,0
Singapore,SIN,2004,0.574,1,0,37.1,9.769,0
Slovakia,SLO,2004,0.932,1,1,37.6,10.838,0
South Africa,SAF,2004,0.928,0,0,60.3,7.616,0
Spain,SPN,2004,0.962,1,1,30.4,9.804,0
Sri Lanka,SRI,2004,0.707,1,0,42.1,7.133,0
Sudan,SUD,2004,0.241,1,0,40.4,0,1
Sweden,SWD,2004,0.975,1,0,21.5,11.658,0
Switzerland,SWZ,2004,0.965,0,0,30.8,12.656,0
Taiwan,TAW,2004,0.917,1,0,30.3,0,0
Tajikistan,TAJ,2004,0.331,1,0,42.3,9.455,1
Tanzania,TAZ,2004,0.81,1,0,43.7,3.498,0
Thailand,THI,2004,0.806,1,0,43,7.73,1
Tunisia,TUN,2004,0.239,1,0,40.7,5.741,0
Turkey,TUR,2004,0.84,1,1,41.4,6.48,1
Uganda,UGA,2004,0.598,1,0,44.9,3.814,1
Ukraine,UKR,2004,0.633,1,0,29,11.132,0
United Kingdom,UKG,2004,0.955,0,1,34.2,13.162,0
United States of America,USA,2004,0.962,1,1,37.7,13.25,1
Uruguay,URU,2004,0.959,1,0,42.4,8.506,0
Venezuela,VEN,2004,0.638,0,0,41.4,6.51,0
Vietnam,DRV,2004,0.369,1,0,34.3,5.744,0
Yemen,YEM,2004,0.517,0,0,36.9,0,0
Zambia,ZAM,2004,0.821,1,0,54.8,6.108,1
Zimbabwe,ZIM,2004,0.396,0,0,48.1,7.525,0
Angola,ANG,2005,0.39,0,0,50.2,2.685,1
Argentina,ARG,2005,0.915,1,0,44,8.57,0
Armenia,ARM,2005,0.587,1,0,37.5,10.71,0
Australia,AUL,2005,0.969,0,0,31.9,13.065,0
Austria,AUS,2005,0.969,0,0,27.1,13.065,0
Belarus,BLR,2005,0.248,1,0,24.2,10.032,0
Belgium,BEL,2005,0.951,0,1,26.6,11.01,0
Bolivia,BOL,2005,0.89,1,0,51.7,7.977,0
Botswana,BOT,2005,0.9,0,0,58.6,9.5,0
Brazil,BRA,2005,0.957,1,0,50.4,7.84,0
Bulgaria,BUL,2005,0.902,1,1,33.1,10.95,0
Burkina Faso,BFO,2005,0.813,1,0,44.8,1.156,0
Cameroon,CAO,2005,0.549,0,0,44.8,4.88,1
Canada,CAN,2005,0.936,0,1,31.1,12.96,1
Chile,CHL,2005,0.967,1,0,48.6,10.155,0
China,CHN,2005,0.202,1,0,42.2,7.285,1
Colombia,COL,2005,0.819,0,0,52.5,7.28,1
Costa Rica,COS,2005,0.971,1,0,44.9,7.195,0
Croatia,CRO,2005,0.894,1,0,54.7,0,1
Cyprus,CYP,2005,0.923,0,0,27.9,8.891,0
Czech Republic,CZR,2005,0.957,1,1,29.6,11,0
Denmark,DEN,2005,0.979,1,1,23.6,12.045,1
Djibouti,DJI,2005,0.386,1,0,42.3,0,0
Dominican Republic,DOM,2005,0.801,0,0,47.8,6.305,0
Ecuador,ECU,2005,0.848,0,0,48.3,8.294,1
Egypt,EGY,2005,0.378,1,0,41,7.275,0
El Salvador,SAL,2005,0.765,1,0,44.3,5.585,0
Estonia,EST,2005,0.956,1,1,33.6,11.358,0
Ethiopia,ETH,2005,0.404,1,0,32.9,0,1
